CVE-2005-3660: Fix unknown
CVE-2007-3719: Fix unknown
CVE-2008-2544: Fix unknown
CVE-2008-4609: Fix unknown
CVE-2010-4563: Fix unknown
CVE-2010-5321: Fix unknown
CVE-2011-4917: Fix unknown
CVE-2012-4542: Fix unknown
CVE-2016-3689: Fixed with 4.4.7
CVE-2016-3713: Fixed with 4.4.12
CVE-2016-3857: Fixed with 4.4.18
CVE-2016-3951: Fixed with 4.4.18
CVE-2016-3955: Fixed with 4.4.9
CVE-2016-3961: Fixed with 4.4.9
CVE-2016-4470: Fixed with 4.4.16
CVE-2016-4482: Fixed with 4.4.19
CVE-2016-4485: Fixed with 4.4.11
CVE-2016-4486: Fixed with 4.4.11
CVE-2016-4557: Fixed with 4.4.11
CVE-2016-4558: Fixed with 4.4.11
CVE-2016-4565: Fixed with 4.4.9
CVE-2016-4568: Fixed with 4.4.9
CVE-2016-4569: Fixed with 4.4.17
CVE-2016-4578: Fixed with 4.4.17
CVE-2016-4580: Fixed with 4.4.11
CVE-2016-4581: Fixed with 4.4.10
CVE-2016-4794: Fixed with 4.4.16
CVE-2016-4805: Fixed with 4.4.8
CVE-2016-4913: Fixed with 4.4.11
CVE-2016-4951: Fixed with 4.4.14
CVE-2016-4997: Fixed with 4.4.14
CVE-2016-4998: Fixed with 4.4.14
CVE-2016-5195: Fixed with 4.4.26
CVE-2016-5243: Fixed with 4.4.21
CVE-2016-5244: Fixed with 4.4.21
CVE-2016-5400: Fixed with 4.4.17
CVE-2016-5412: Fixed with 4.4.19
CVE-2016-5696: Fixed with 4.4.18
CVE-2016-5728: Fix not seen in stream
CVE-2016-5828: Fixed with 4.4.16
CVE-2016-5829: Fixed with 4.4.16
CVE-2016-6130: Fixed with 4.4.21
CVE-2016-6136: Fixed with 4.4.19
CVE-2016-6156: Fixed with 4.4.17
CVE-2016-6197: Fixed with 4.4.16
CVE-2016-6198: Fixed with 4.4.11
CVE-2016-6213: Fixed with 4.4.65
CVE-2016-6327: Fixed with 4.4.7
CVE-2016-6480: Fixed with 4.4.20
CVE-2016-6828: Fixed with 4.4.23
CVE-2016-7039: Fixed with 4.4.32
CVE-2016-7042: Fixed with 4.4.31
CVE-2016-7097: Fixed with 4.4.29
CVE-2016-7117: Fixed with 4.4.8
CVE-2016-7425: Fixed with 4.4.27
CVE-2016-7910: Fixed with 4.4.18
CVE-2016-7911: Fixed with 4.4.17
CVE-2016-7912: Fixed with 4.4.9
CVE-2016-7913: Fixed with 4.4.65
CVE-2016-7914: Fixed with 4.4.9
CVE-2016-7915: Fixed with 4.4.21
CVE-2016-7916: Fixed with 4.4.10
CVE-2016-7917: Fixed with 4.4.65
CVE-2016-8399: Fixed with 4.4.38
CVE-2016-8405: Fixed with 4.4.46
CVE-2016-8630: Fixed with 4.4.31
CVE-2016-8632: Fixed with 4.4.65
CVE-2016-8633: Fixed with 4.4.31
CVE-2016-8645: Fixed with 4.4.34
CVE-2016-8650: Fixed with 4.4.36
CVE-2016-8655: Fixed with 4.4.38
CVE-2016-8658: Fixed with 4.4.29
CVE-2016-8660: Fix unknown
CVE-2016-8666: Fixed with 4.4.29
CVE-2016-9083: Fixed with 4.4.65
CVE-2016-9084: Fixed with 4.4.65
CVE-2016-9120: Fixed with 4.4.65
CVE-2016-9178: Fixed with 4.4.22
CVE-2016-9191: Fixed with 4.4.44
CVE-2016-9555: Fixed with 4.4.32
CVE-2016-9588: Fixed with 4.4.41
CVE-2016-9604: Fixed with 4.4.64
CVE-2016-9644: Fixed with 4.4.29
CVE-2016-9685: Fixed with 4.4.7
CVE-2016-9754: Fixed with 4.4.12
CVE-2016-9756: Fixed with 4.4.36
CVE-2016-9793: Fixed with 4.4.38
CVE-2016-9794: Fixed with 4.4.37
CVE-2016-9806: Fixed with 4.4.14
CVE-2017-0750: Fixed with 4.4.66
CVE-2017-0786: Fixed with 4.4.93
CVE-2017-0861: Fixed with 4.4.106
CVE-2017-1000111: Fixed with 4.4.82
CVE-2017-1000112: Fixed with 4.4.82
CVE-2017-1000251: Fixed with 4.4.88
CVE-2017-1000252: Fixed with 4.4.90
CVE-2017-1000363: Fixed with 4.4.70
CVE-2017-1000364: Fixed with 4.4.74
CVE-2017-1000365: Fixed with 4.4.75
CVE-2017-1000370: Fixed with 4.4.78
CVE-2017-1000371: Fixed with 4.4.78
CVE-2017-1000379: Fixed with 4.4.74
CVE-2017-1000380: Fixed with 4.4.72
CVE-2017-1000405: Fix not seen in stream
CVE-2017-1000407: Fixed with 4.4.106
CVE-2017-1000410: Fixed with 4.4.88
CVE-2017-10661: Fixed with 4.4.67
CVE-2017-10662: Fixed with 4.4.68
CVE-2017-10663: Fixed with 4.4.81
CVE-2017-10810: Fixed with 4.4.77
CVE-2017-10911: Fixed with 4.4.100
CVE-2017-11176: Fixed with 4.4.77
CVE-2017-11472: Fixed with 4.4.114
CVE-2017-11473: Fixed with 4.4.79
CVE-2017-11600: Fixed with 4.4.87
CVE-2017-12134: Fixed with 4.4.84
CVE-2017-12146: Fixed with 4.4.77
CVE-2017-12153: Fixed with 4.4.90
CVE-2017-12154: Fixed with 4.4.90
CVE-2017-12168: Fix not seen in stream
CVE-2017-12190: Fixed with 4.4.93
CVE-2017-12192: Fixed with 4.4.90
CVE-2017-12193: Fixed with 4.4.96
CVE-2017-12762: Fixed with 4.4.80
CVE-2017-13080: Fixed with 4.4.99
CVE-2017-13166: Fix not seen in stream
CVE-2017-13215: Fixed with 4.4.2
CVE-2017-13216: Fixed with 4.4.112
CVE-2017-13693: Fix unknown
CVE-2017-13694: Fix unknown
CVE-2017-13695: Fix not seen in stream
CVE-2017-14051: Fixed with 4.4.89
CVE-2017-14106: Fixed with 4.4.89
CVE-2017-14140: Fixed with 4.4.84
CVE-2017-14156: Fixed with 4.4.90
CVE-2017-14340: Fixed with 4.4.88
CVE-2017-14489: Fixed with 4.4.90
CVE-2017-14991: Fixed with 4.4.89
CVE-2017-15102: Fixed with 4.4.24
CVE-2017-15115: Fixed with 4.4.100
CVE-2017-15129: Fixed with 4.4.109
CVE-2017-15265: Fixed with 4.4.93
CVE-2017-15274: Fixed with 4.4.72
CVE-2017-15299: Fixed with 4.4.95
CVE-2017-15537: Fixed with 4.4.90
CVE-2017-15649: Fixed with 4.4.94
CVE-2017-15951: Fixed with 4.4.95
CVE-2017-16525: Fixed with 4.4.93
CVE-2017-16526: Fixed with 4.4.92
CVE-2017-16527: Fixed with 4.4.93
CVE-2017-16528: Fixed with 4.4.99
CVE-2017-16529: Fixed with 4.4.92
CVE-2017-16530: Fixed with 4.4.92
CVE-2017-16531: Fixed with 4.4.92
CVE-2017-16532: Fixed with 4.4.99
CVE-2017-16533: Fixed with 4.4.93
CVE-2017-16534: Fixed with 4.4.92
CVE-2017-16535: Fixed with 4.4.95
CVE-2017-16536: Fixed with 4.4.103
CVE-2017-16537: Fixed with 4.4.100
CVE-2017-16538: Fixed with 4.4.116
CVE-2017-16643: Fixed with 4.4.96
CVE-2017-16645: Fixed with 4.4.99
CVE-2017-16646: Fixed with 4.4.100
CVE-2017-16649: Fixed with 4.4.100
CVE-2017-16650: Fixed with 4.4.100
CVE-2017-16911: Fixed with 4.4.114
CVE-2017-16912: Fixed with 4.4.114
CVE-2017-16913: Fixed with 4.4.114
CVE-2017-16914: Fixed with 4.4.107
CVE-2017-16939: Fixed with 4.4.104
CVE-2017-16994: Fixed with 4.4.101
CVE-2017-16995: Fixed with 4.4.123
CVE-2017-16996: Fix not seen in stream
CVE-2017-17448: Fixed with 4.4.114
CVE-2017-17449: Fixed with 4.4.109
CVE-2017-17450: Fixed with 4.4.114
CVE-2017-17558: Fixed with 4.4.107
CVE-2017-17712: Fixed with 4.4.109
CVE-2017-17741: Fixed with 4.4.112
CVE-2017-17805: Fixed with 4.4.107
CVE-2017-17806: Fixed with 4.4.107
CVE-2017-17807: Fixed with 4.4.107
CVE-2017-17852: Fix not seen in stream
CVE-2017-17853: Fix not seen in stream
CVE-2017-17854: Fix not seen in stream
CVE-2017-17855: Fix not seen in stream
CVE-2017-17856: Fix not seen in stream
CVE-2017-17857: Fix not seen in stream
CVE-2017-17862: Fixed with 4.4.115
CVE-2017-17863: Fix not seen in stream
CVE-2017-17975: Fixed with 4.4.127
CVE-2017-18017: Fixed with 4.4.76
CVE-2017-18075: Fixed with 4.4.111
CVE-2017-18079: Fixed with 4.4.79
CVE-2017-18174: Fix not seen in stream
CVE-2017-18193: Fixed with 4.4.120
CVE-2017-18203: Fixed with 4.4.103
CVE-2017-18204: Fixed with 4.4.101
CVE-2017-18208: Fixed with 4.4.104
CVE-2017-18216: Fix not seen in stream
CVE-2017-18221: Fixed with 4.4.71
CVE-2017-18222: Fixed with 4.4.124
CVE-2017-18232: Fix not seen in stream
CVE-2017-18241: Fix not seen in stream
CVE-2017-18249: Fix not seen in stream
CVE-2017-18255: Fix not seen in stream
CVE-2017-18257: Fix not seen in stream
CVE-2017-18261: Fix not seen in stream
CVE-2017-2583: Fixed with 4.4.44
CVE-2017-2584: Fixed with 4.4.44
CVE-2017-2596: Fixed with 4.4.63
CVE-2017-2618: Fixed with 4.4.49
CVE-2017-2636: Fixed with 4.4.54
CVE-2017-2671: Fixed with 4.4.65
CVE-2017-5547: Fixed with 4.4.45
CVE-2017-5549: Fixed with 4.4.44
CVE-2017-5551: Fixed with 4.4.45
CVE-2017-5669: Fixed with 4.4.53
CVE-2017-5715: Fix not seen in stream
CVE-2017-5753: Fix not seen in stream
CVE-2017-5754: Fix unknown
CVE-2017-5897: Fixed with 4.4.50
CVE-2017-5967: Fix not seen in stream
CVE-2017-5970: Fixed with 4.4.50
CVE-2017-5986: Fixed with 4.4.50
CVE-2017-6001: Fixed with 4.4.65
CVE-2017-6074: Fixed with 4.4.52
CVE-2017-6214: Fixed with 4.4.50
CVE-2017-6345: Fixed with 4.4.52
CVE-2017-6346: Fixed with 4.4.52
CVE-2017-6347: Fixed with 4.4.52
CVE-2017-6348: Fixed with 4.4.52
CVE-2017-6353: Fixed with 4.4.63
CVE-2017-7184: Fixed with 4.4.59
CVE-2017-7187: Fixed with 4.4.60
CVE-2017-7261: Fixed with 4.4.61
CVE-2017-7273: Fixed with 4.4.43
CVE-2017-7294: Fixed with 4.4.61
CVE-2017-7308: Fixed with 4.4.62
CVE-2017-7346: Fixed with 4.4.72
CVE-2017-7374: Fixed with 4.4.59
CVE-2017-7472: Fixed with 4.4.64
CVE-2017-7482: Fixed with 4.4.75
CVE-2017-7487: Fixed with 4.4.70
CVE-2017-7495: Fixed with 4.4.18
CVE-2017-7518: Fixed with 4.4.100
CVE-2017-7533: Fixed with 4.4.80
CVE-2017-7541: Fixed with 4.4.78
CVE-2017-7542: Fixed with 4.4.81
CVE-2017-7616: Fixed with 4.4.61
CVE-2017-7618: Fixed with 4.4.63
CVE-2017-7645: Fixed with 4.4.66
CVE-2017-7889: Fixed with 4.4.63
CVE-2017-7895: Fixed with 4.4.67
CVE-2017-8064: Fixed with 4.4.63
CVE-2017-8797: Fix not seen in stream
CVE-2017-8824: Fixed with 4.4.116
CVE-2017-8831: Fixed with 4.4.81
CVE-2017-8890: Fixed with 4.4.71
CVE-2017-8924: Fixed with 4.4.55
CVE-2017-8925: Fixed with 4.4.55
CVE-2017-9074: Fixed with 4.4.71
CVE-2017-9075: Fixed with 4.4.71
CVE-2017-9076: Fixed with 4.4.71
CVE-2017-9077: Fixed with 4.4.71
CVE-2017-9150: Fixed with 4.4.100
CVE-2017-9242: Fixed with 4.4.71
CVE-2017-9605: Fixed with 4.4.72
CVE-2017-9984: Fixed with 4.4.88
CVE-2017-9985: Fixed with 4.4.88
CVE-2017-9986: Fix not seen in stream
CVE-2018-1000004: Fixed with 4.4.115
CVE-2018-1000026: Fix not seen in stream
CVE-2018-1000199: Fix unknown
CVE-2018-10021: Fix not seen in stream
CVE-2018-10087: Fix not seen in stream
CVE-2018-10124: Fix not seen in stream
CVE-2018-10322: Fix unknown
CVE-2018-10323: Fix unknown
CVE-2018-1065: Fixed with 4.4.122
CVE-2018-1066: Fixed with 4.4.124
CVE-2018-1068: Fixed with 4.4.122
CVE-2018-1092: Fixed with 4.4.129
CVE-2018-1093: Fix not seen in stream
CVE-2018-1094: Fix not seen in stream
CVE-2018-5332: Fixed with 4.4.112
CVE-2018-5333: Fixed with 4.4.112
CVE-2018-5344: Fixed with 4.4.115
CVE-2018-5750: Fixed with 4.4.116
CVE-2018-5803: Fixed with 4.4.121
CVE-2018-6412: Fix not seen in stream
CVE-2018-6927: Fixed with 4.4.113
CVE-2018-7273: Fix not seen in stream
CVE-2018-7480: Fixed with 4.4.123
CVE-2018-7492: Fixed with 4.4.106
CVE-2018-7566: Fixed with 4.4.117
CVE-2018-7755: Fix unknown
CVE-2018-7757: Fixed with 4.4.128
CVE-2018-7995: Fixed with 4.4.122
CVE-2018-8043: Fix not seen in stream
CVE-2018-8781: Fixed with 4.4.125
CVE-2018-8822: Fixed with 4.4.125
